sample-id	sample-type	day	fungicide	pma	group	studyid
#q2:types	categorical	numeric	categorical	categorical	categorical	categorical
FvP-0d-plus-CH1	true sample	0	Copper-High	TRUE	Copper High +PMA	1
FvP-0d-plus-CH2	true sample	0	Copper-High	TRUE	Copper High +PMA	2
FvP-0d-plus-CH3	true sample	0	Copper-High	TRUE	Copper High +PMA	3
FvP-0d-plus-CL1	true sample	0	Copper-Low	TRUE	Copper Low +PMA	4
FvP-0d-plus-CL2	true sample	0	Copper-Low	TRUE	Copper Low +PMA	5
FvP-0d-plus-CL3	true sample	0	Copper-Low	TRUE	Copper Low +PMA	6
FvP-0d-plus-SH1	true sample	0	Sulphur-High	TRUE	Sulphur High +PMA	7
FvP-0d-plus-SH2	true sample	0	Sulphur-High	TRUE	Sulphur High +PMA	8
FvP-0d-plus-SH3	true sample	0	Sulphur-High	TRUE	Sulphur High +PMA	9
FvP-0d-plus-SL1	true sample	0	Sulphur-Low	TRUE	Sulphur Low +PMA	10
FvP-0d-plus-SL2	true sample	0	Sulphur-Low	TRUE	Sulphur Low +PMA	11
FvP-0d-plus-SL3	true sample	0	Sulphur-Low	TRUE	Sulphur Low +PMA	12
FvP-0d-plus-W1	true sample	0	Water	TRUE	Water Control +PMA	13
FvP-0d-plus-W2	true sample	0	Water	TRUE	Water Control +PMA	14
FvP-0d-plus-W3	true sample	0	Water	TRUE	Water Control +PMA	15
FvP-14d-plus-CH1	true sample	14	Copper-High	TRUE	Copper High +PMA	1
FvP-14d-plus-CH2	true sample	14	Copper-High	TRUE	Copper High +PMA	2
FvP-14d-plus-CH3	true sample	14	Copper-High	TRUE	Copper High +PMA	3
FvP-14d-plus-CL1	true sample	14	Copper-Low	TRUE	Copper Low +PMA	4
FvP-14d-plus-CL2	true sample	14	Copper-Low	TRUE	Copper Low +PMA	5
FvP-14d-plus-CL3	true sample	14	Copper-Low	TRUE	Copper Low +PMA	6
FvP-14d-plus-SH1	true sample	14	Sulphur-High	TRUE	Sulphur High +PMA	7
FvP-14d-plus-SH2	true sample	14	Sulphur-High	TRUE	Sulphur High +PMA	8
FvP-14d-plus-SH3	true sample	14	Sulphur-High	TRUE	Sulphur High +PMA	9
FvP-14d-plus-SL1	true sample	14	Sulphur-Low	TRUE	Sulphur Low +PMA	10
FvP-14d-plus-SL2	true sample	14	Sulphur-Low	TRUE	Sulphur Low +PMA	11
FvP-14d-plus-SL3	true sample	14	Sulphur-Low	TRUE	Sulphur Low +PMA	12
FvP-14d-plus-W1	true sample	14	Water	TRUE	Water Control +PMA	13
FvP-14d-plus-W2	true sample	14	Water	TRUE	Water Control +PMA	14
FvP-14d-plus-W3	true sample	14	Water	TRUE	Water Control +PMA	15
FvP-1d-plus-CH1	true sample	1	Copper-High	TRUE	Copper High +PMA	1
FvP-1d-plus-CH2	true sample	1	Copper-High	TRUE	Copper High +PMA	2
FvP-1d-plus-CH3	true sample	1	Copper-High	TRUE	Copper High +PMA	3
FvP-1d-plus-CL1	true sample	1	Copper-Low	TRUE	Copper Low +PMA	4
FvP-1d-plus-CL2	true sample	1	Copper-Low	TRUE	Copper Low +PMA	5
FvP-1d-plus-CL3	true sample	1	Copper-Low	TRUE	Copper Low +PMA	6
FvP-1d-plus-SH1	true sample	1	Sulphur-High	TRUE	Sulphur High +PMA	7
FvP-1d-plus-SH2	true sample	1	Sulphur-High	TRUE	Sulphur High +PMA	8
FvP-1d-plus-SH3	true sample	1	Sulphur-High	TRUE	Sulphur High +PMA	9
FvP-1d-plus-SL1	true sample	1	Sulphur-Low	TRUE	Sulphur Low +PMA	10
FvP-1d-plus-SL2	true sample	1	Sulphur-Low	TRUE	Sulphur Low +PMA	11
FvP-1d-plus-SL3	true sample	1	Sulphur-Low	TRUE	Sulphur Low +PMA	12
FvP-1d-plus-W1	true sample	1	Water	TRUE	Water Control +PMA	13
FvP-1d-plus-W2	true sample	1	Water	TRUE	Water Control +PMA	14
FvP-1d-plus-W3	true sample	1	Water	TRUE	Water Control +PMA	15
FvP-21d-plus-CH1	true sample	21	Copper-High	TRUE	Copper High +PMA	1
FvP-21d-plus-CH2	true sample	21	Copper-High	TRUE	Copper High +PMA	2
FvP-21d-plus-CH3	true sample	21	Copper-High	TRUE	Copper High +PMA	3
FvP-21d-plus-CL1	true sample	21	Copper-Low	TRUE	Copper Low +PMA	4
FvP-21d-plus-CL2	true sample	21	Copper-Low	TRUE	Copper Low +PMA	5
FvP-21d-plus-CL3	true sample	21	Copper-Low	TRUE	Copper Low +PMA	6
FvP-21d-plus-SH1	true sample	21	Sulphur-High	TRUE	Sulphur High +PMA	7
FvP-21d-plus-SH2	true sample	21	Sulphur-High	TRUE	Sulphur High +PMA	8
FvP-21d-plus-SH3	true sample	21	Sulphur-High	TRUE	Sulphur High +PMA	9
FvP-21d-plus-SL1	true sample	21	Sulphur-Low	TRUE	Sulphur Low +PMA	10
FvP-21d-plus-SL2	true sample	21	Sulphur-Low	TRUE	Sulphur Low +PMA	11
FvP-21d-plus-SL3	true sample	21	Sulphur-Low	TRUE	Sulphur Low +PMA	12
FvP-21d-plus-W1	true sample	21	Water	TRUE	Water Control +PMA	13
FvP-21d-plus-W2	true sample	21	Water	TRUE	Water Control +PMA	14
FvP-21d-plus-W3	true sample	21	Water	TRUE	Water Control +PMA	15
FvP-7d-plus-CH1	true sample	7	Copper-High	TRUE	Copper High +PMA	1
FvP-7d-plus-CH2	true sample	7	Copper-High	TRUE	Copper High +PMA	2
FvP-7d-plus-CH3	true sample	7	Copper-High	TRUE	Copper High +PMA	3
FvP-7d-plus-CL1	true sample	7	Copper-Low	TRUE	Copper Low +PMA	4
FvP-7d-plus-CL2	true sample	7	Copper-Low	TRUE	Copper Low +PMA	5
FvP-7d-plus-CL3	true sample	7	Copper-Low	TRUE	Copper Low +PMA	6
FvP-7d-plus-SH1	true sample	7	Sulphur-High	TRUE	Sulphur High +PMA	7
FvP-7d-plus-SH2	true sample	7	Sulphur-High	TRUE	Sulphur High +PMA	8
FvP-7d-plus-SH3	true sample	7	Sulphur-High	TRUE	Sulphur High +PMA	9
FvP-7d-plus-SL1	true sample	7	Sulphur-Low	TRUE	Sulphur Low +PMA	10
FvP-7d-plus-SL2	true sample	7	Sulphur-Low	TRUE	Sulphur Low +PMA	11
FvP-7d-plus-SL3	true sample	7	Sulphur-Low	TRUE	Sulphur Low +PMA	12
FvP-7d-plus-W1	true sample	7	Water	TRUE	Water Control +PMA	13
FvP-7d-plus-W2	true sample	7	Water	TRUE	Water Control +PMA	14
FvP-7d-plus-W3	true sample	7	Water	TRUE	Water Control +PMA	15